epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.83,1.08766,4.29777,0.01171,0.00896,0.97355,0.30513,0.19511,0.89483,6.10242,0.01244,0.000467346,0.000467346,0.000467346
2,280.947,1.09431,3.5969,0.01227,0.39225,0.44909,0.41832,0.25485,1.29779,4.97069,0.01973,0.000924994,0.000924994,0.000924994
3,410.358,1.12645,3.07134,0.01178,0.58136,0.58915,0.56989,0.31204,1.52414,4.40256,0.02402,0.00136378,0.00136378,0.00136378
4,539.698,1.12116,2.73368,0.01229,0.60583,0.63234,0.64636,0.42749,1.14714,3.52209,0.01664,0.00134412,0.00134412,0.00134412
5,670.603,1.20024,2.42211,0.01268,0.76522,0.65625,0.73886,0.42037,1.47246,3.10399,0.02233,0.00131582,0.00131582,0.00131582
6,802.386,1.2186,2.26259,0.01328,0.67529,0.76673,0.81092,0.51764,1.26301,2.61719,0.01823,0.00128753,0.00128753,0.00128753
7,932.33,1.14699,2.09146,0.01292,0.76103,0.67517,0.79135,0.60548,0.82214,2.19939,0.01167,0.00125923,0.00125923,0.00125923
8,1061.93,1.2087,1.95647,0.01376,0.84843,0.66095,0.80544,0.61736,0.76971,1.83794,0.0106,0.00123094,0.00123094,0.00123094
9,1192.17,1.12375,1.79653,0.01243,0.72041,0.75751,0.78755,0.54988,1.03741,1.87492,0.01455,0.00120265,0.00120265,0.00120265
10,1321.95,1.139,1.70255,0.01216,0.81374,0.67064,0.82554,0.5772,1.11862,1.65371,0.01624,0.00117435,0.00117435,0.00117435
11,1451.08,1.11094,1.58758,0.01175,0.73489,0.76137,0.80984,0.54213,1.19711,1.59226,0.01762,0.00114606,0.00114606,0.00114606
12,1581.13,1.14117,1.53199,0.01248,0.72447,0.82003,0.81641,0.55906,1.18372,1.43843,0.01757,0.00111776,0.00111776,0.00111776
13,1711.44,1.10998,1.46543,0.01218,0.81477,0.79561,0.84854,0.62562,0.86621,1.24309,0.01155,0.00108947,0.00108947,0.00108947
14,1840.65,1.11693,1.35926,0.01245,0.82486,0.75847,0.84708,0.65018,0.82521,1.24492,0.01148,0.00106118,0.00106118,0.00106118
15,1971.68,1.08845,1.25872,0.01144,0.77386,0.83978,0.84346,0.6712,0.70623,1.17025,0.00927,0.00103288,0.00103288,0.00103288
16,2101.36,1.07662,1.29584,0.01211,0.85725,0.72322,0.83937,0.67782,0.68401,1.0273,0.00939,0.00100459,0.00100459,0.00100459
17,2230.15,1.10363,1.24794,0.01237,0.80238,0.76488,0.84537,0.7011,0.62228,0.99036,0.00834,0.000976293,0.000976293,0.000976293
18,2358.69,1.03004,1.2143,0.01126,0.83044,0.75464,0.85164,0.67395,0.74818,0.96692,0.01003,0.000947999,0.000947999,0.000947999
19,2488.33,1.04758,1.12331,0.01126,0.87418,0.81922,0.89295,0.64832,1.02194,0.87118,0.01428,0.000919704,0.000919704,0.000919704
20,2617.74,1.04376,1.0712,0.01144,0.82474,0.81118,0.86865,0.69536,0.7716,0.85554,0.01078,0.00089141,0.00089141,0.00089141
21,2747.48,1.05003,1.02564,0.01137,0.88322,0.80118,0.88589,0.68342,0.85539,0.84547,0.01216,0.000863116,0.000863116,0.000863116
22,2878.47,1.04389,1.02543,0.01127,0.81984,0.77626,0.86595,0.68399,0.75196,0.84638,0.01011,0.000834822,0.000834822,0.000834822
23,3009.74,1.0717,1.05266,0.01171,0.82628,0.77048,0.85533,0.63954,0.87915,0.8668,0.01218,0.000806528,0.000806528,0.000806528
24,3139.34,1.04478,1.00442,0.01162,0.76333,0.85312,0.86393,0.68057,0.74003,0.79276,0.01019,0.000778233,0.000778233,0.000778233
25,3267.3,1.00531,0.96343,0.01079,0.90954,0.7522,0.88694,0.69415,0.78578,0.70252,0.01089,0.000749939,0.000749939,0.000749939
26,3396.93,1.02704,0.92808,0.01087,0.89307,0.79222,0.89611,0.71499,0.78815,0.68263,0.0109,0.000721645,0.000721645,0.000721645
27,3526.06,0.99149,0.87202,0.01051,0.85571,0.76088,0.89282,0.733,0.64189,0.70444,0.00846,0.000693351,0.000693351,0.000693351
28,3656.18,1.01745,0.90176,0.01126,0.87365,0.71758,0.87116,0.72822,0.59751,0.66506,0.00771,0.000665057,0.000665057,0.000665057
29,3786.55,1.021,0.96782,0.01126,0.84121,0.79876,0.87704,0.73624,0.66538,0.63843,0.0094,0.000636762,0.000636762,0.000636762
30,3916.89,1.03603,0.95775,0.01131,0.83806,0.82924,0.88349,0.7203,0.70453,0.65042,0.00967,0.000608468,0.000608468,0.000608468
31,4047.72,1.02037,0.88063,0.01097,0.83609,0.84129,0.87124,0.73409,0.57441,0.57923,0.00773,0.000580174,0.000580174,0.000580174
32,4178.01,0.96054,0.83193,0.01015,0.88966,0.8491,0.89241,0.74691,0.55829,0.57237,0.0071,0.00055188,0.00055188,0.00055188
33,4308.18,0.97997,0.81024,0.01073,0.80638,0.81666,0.88324,0.71997,0.72123,0.63981,0.00991,0.000523586,0.000523586,0.000523586
34,4438.99,1.00174,0.8521,0.01106,0.87514,0.80976,0.89642,0.77457,0.50639,0.54343,0.00668,0.000495291,0.000495291,0.000495291
35,4570.08,1.00765,0.87029,0.01076,0.86768,0.79693,0.89803,0.74443,0.62508,0.58792,0.00854,0.000466997,0.000466997,0.000466997
36,4699.65,0.9633,0.80517,0.01017,0.84161,0.81268,0.88809,0.77422,0.49804,0.63962,0.00653,0.000438703,0.000438703,0.000438703
37,4829.4,0.93641,0.77369,0.01,0.87157,0.85037,0.90577,0.78247,0.51388,0.54292,0.00679,0.000410409,0.000410409,0.000410409
38,4958.64,0.99317,0.76774,0.0105,0.89431,0.8138,0.90011,0.75162,0.64879,0.53671,0.00866,0.000382115,0.000382115,0.000382115
39,5087.41,0.97222,0.76241,0.01053,0.86919,0.82341,0.89685,0.79525,0.48469,0.56996,0.00651,0.00035382,0.00035382,0.00035382
40,5215.74,0.93299,0.73944,0.01009,0.87228,0.8202,0.90336,0.76545,0.64202,0.60795,0.00891,0.000325526,0.000325526,0.000325526
41,5340.14,0.76407,0.55243,0.01047,0.85211,0.80133,0.89754,0.78525,0.48844,0.60708,0.00628,0.000297232,0.000297232,0.000297232
42,5466.46,0.75894,0.55358,0.01001,0.85953,0.85585,0.90591,0.78049,0.53469,0.55252,0.00742,0.000268938,0.000268938,0.000268938
43,5592.48,0.72866,0.49269,0.01008,0.89009,0.79677,0.8926,0.7663,0.5491,0.576,0.00729,0.000240644,0.000240644,0.000240644
44,5720.44,0.72373,0.4675,0.00972,0.86712,0.8168,0.88401,0.75957,0.51433,0.55091,0.00693,0.000212349,0.000212349,0.000212349
45,5845.73,0.70372,0.47228,0.00915,0.82892,0.87044,0.88594,0.76824,0.52596,0.54641,0.00704,0.000184055,0.000184055,0.000184055
46,5970.14,0.72896,0.4782,0.01007,0.85961,0.82902,0.88146,0.77267,0.50123,0.55479,0.00659,0.000155761,0.000155761,0.000155761
47,6094.44,0.6981,0.44157,0.00923,0.82269,0.86061,0.8646,0.75422,0.50063,0.57891,0.00665,0.000127467,0.000127467,0.000127467
48,6219.73,0.71705,0.4456,0.00937,0.84209,0.85153,0.8716,0.75592,0.51054,0.55014,0.00659,9.91726e-05,9.91726e-05,9.91726e-05
49,6345.95,0.68229,0.41521,0.00892,0.85908,0.85719,0.87692,0.75928,0.53238,0.52934,0.00708,7.08784e-05,7.08784e-05,7.08784e-05
50,6472.4,0.70622,0.43798,0.00934,0.85767,0.849,0.87845,0.76577,0.51755,0.5264,0.00688,4.25842e-05,4.25842e-05,4.25842e-05
